seed,score,lowestFaceDown,completedRuns,depth,nodes
998,-23120,38,0,6,2567
588,-23235,38,0,6,2964
67,-23350,38,0,6,2124
46,-23525,39,0,5,1282
86,-23525,39,0,5,2326
124,-23525,39,0,5,2453
156,-23525,39,0,5,2281
217,-23525,39,0,5,2019
298,-23525,39,0,5,2287
459,-23525,39,0,5,2207
509,-23525,39,0,5,2153
547,-23525,39,0,5,2318
632,-23525,39,0,5,2554
721,-23525,39,0,5,2204
101,-23640,39,0,5,2554
120,-23640,39,0,5,2444
131,-23640,39,0,5,2082
137,-23640,39,0,5,2647
154,-23640,39,0,5,2221
174,-23640,39,0,5,2645
175,-23640,39,0,5,2394
304,-23640,39,0,5,1996
478,-23640,39,0,5,2218
501,-23640,39,0,5,2180
502,-23640,39,0,5,1487
506,-23640,39,0,5,2120
518,-23640,39,0,5,2401
520,-23640,39,0,5,3190
526,-23640,39,0,5,2491
548,-23640,39,0,5,2507
550,-23640,39,0,5,2794
566,-23640,39,0,5,2365
634,-23640,39,0,5,2059
698,-23640,39,0,5,2487
701,-23640,39,0,5,2310
717,-23640,39,0,5,3035
722,-23640,39,0,5,2479
888,-23640,39,0,5,2037
937,-23640,39,0,5,2275
985,-23640,39,0,5,2435
987,-23640,39,0,5,1891
996,-23640,39,0,5,2682
6,-23755,39,0,5,1915
108,-23755,39,0,5,2425
110,-23755,39,0,5,2219
113,-23755,39,0,5,2397
141,-23755,39,0,5,2239
160,-23755,39,0,5,2137
161,-23755,39,0,5,2295
301,-23755,39,0,5,2053
309,-23755,39,0,5,1020
439,-23755,39,0,5,844
507,-23755,39,0,5,2130
510,-23755,39,0,5,2609
525,-23755,39,0,5,2172
539,-23755,39,0,5,2507
541,-23755,39,0,5,2240
544,-23755,39,0,5,2275
583,-23755,39,0,5,2187
599,-23755,39,0,5,1811
605,-23755,39,0,5,2139
607,-23755,39,0,5,1939
608,-23755,39,0,5,2152
611,-23755,39,0,5,2201
618,-23755,39,0,5,2258
624,-23755,39,0,5,2335
679,-23755,39,0,5,2634
686,-23755,39,0,5,2358
687,-23755,39,0,5,2428
690,-23755,39,0,5,2364
706,-23755,39,0,5,2220
707,-23755,39,0,5,2668
715,-23755,39,0,5,2553
828,-23755,39,0,5,609
843,-23755,39,0,5,1314
936,-23755,39,0,5,2307
943,-23755,39,0,5,1615
959,-23755,39,0,5,2225
964,-23755,39,0,5,2752
966,-23755,39,0,5,2228
971,-23755,39,0,5,2291
980,-23755,39,0,5,2453
983,-23755,39,0,5,2583
988,-23755,39,0,5,2165
2,-23870,39,0,5,2746
77,-23870,39,0,5,2155
78,-23870,39,0,5,1862
104,-23870,39,0,5,1997
125,-23870,39,0,5,2005
128,-23870,39,0,5,2115
153,-23870,39,0,5,2588
306,-23870,39,0,5,1088
335,-23870,39,0,5,1073
347,-23870,39,0,5,780
353,-23870,39,0,5,2110
504,-23870,39,0,5,2036
515,-23870,39,0,5,2223
536,-23870,39,0,5,2433
563,-23870,39,0,5,2388
593,-23870,39,0,5,1811
604,-23870,39,0,5,2404
617,-23870,39,0,5,1966
637,-23870,39,0,5,1456
641,-23870,39,0,5,2509
670,-23870,39,0,5,1683
677,-23870,39,0,5,2476
681,-23870,39,0,5,2422
704,-23870,39,0,5,2499
710,-23870,39,0,5,2163
713,-23870,39,0,5,2371
794,-23870,39,0,5,1847
893,-23870,39,0,5,2148
919,-23870,39,0,5,2220
957,-23870,39,0,5,2688
965,-23870,39,0,5,2330
979,-23870,39,0,5,2381
92,-23985,39,0,5,1934
119,-23985,39,0,5,2273
499,-23985,39,0,5,2061
505,-23985,39,0,5,2540
540,-23985,39,0,5,2771
595,-23985,39,0,5,2150
614,-23985,39,0,5,2122
671,-23985,39,0,5,2044
914,-23985,39,0,5,2135
939,-23985,39,0,5,2446
295,-24100,39,0,5,1749
25,-24160,40,0,4,1634
65,-24160,40,0,4,1510
66,-24160,40,0,4,427
70,-24160,40,0,4,1895
73,-24160,40,0,4,2072
82,-24160,40,0,4,2119
85,-24160,40,0,4,2214
89,-24160,40,0,4,2152
90,-24160,40,0,4,1385
98,-24160,40,0,4,2020
100,-24160,40,0,4,1428
107,-24160,40,0,4,1909
127,-24160,40,0,4,1878
148,-24160,40,0,4,1198
157,-24160,40,0,4,1834
162,-24160,40,0,4,1198
165,-24160,40,0,4,1171
176,-24160,40,0,4,1622
180,-24160,40,0,4,1287
182,-24160,40,0,4,1963
187,-24160,40,0,4,1939
211,-24160,40,0,4,1219
212,-24160,40,0,4,904
241,-24160,40,0,4,1926
248,-24160,40,0,4,1990
282,-24160,40,0,4,1057
